iter	Passed	Remaining
0	164	164123
1	165	82338
2	165	55037
3	166	41350
4	166	33148
5	167	27675
6	167	23771
7	168	20837
8	168	18554
9	168	16728
10	169	15244
11	170	14002
12	170	12956
13	171	12056
14	171	11272
15	172	10587
16	172	9981
17	173	9443
18	173	8960
19	173	8525
20	174	8133
21	174	7776
22	175	7450
23	175	7151
24	176	6878
25	176	6623
26	177	6389
27	177	6170
28	178	5967
29	178	5777
30	179	5599
31	179	5433
32	180	5276
33	180	5130
34	181	4990
35	181	4862
36	182	4738
37	182	4621
38	183	4509
39	183	4403
40	183	4302
41	184	4208
42	184	4116
43	185	4029
44	185	3945
45	186	3865
46	186	3788
47	187	3714
48	187	3644
49	188	3576
50	188	3511
51	189	3448
52	189	3389
53	190	3330
54	191	3284
55	191	3230
56	192	3177
57	192	3127
58	193	3078
59	193	3031
60	193	2985
61	194	2941
62	194	2898
63	195	2860
64	196	2820
65	196	2782
66	197	2744
67	197	2704
68	197	2669
69	198	2634
70	198	2600
71	199	2567
72	199	2535
73	200	2504
74	200	2473
75	201	2444
76	201	2415
77	201	2387
78	202	2360
79	202	2333
80	203	2306
81	203	2282
82	204	2257
83	205	2236
84	205	2210
85	205	2188
86	206	2164
87	206	2142
88	207	2125
89	208	2104
90	208	2084
91	209	2064
92	209	2044
93	210	2025
94	210	2006
95	211	1987
96	211	1969
97	212	1951
98	212	1933
99	212	1916
100	213	1899
101	213	1883
102	214	1867
103	214	1851
104	215	1835
105	215	1820
106	216	1805
107	216	1790
108	217	1775
109	217	1761
110	218	1747
111	218	1733
112	219	1719
113	219	1706
114	220	1693
115	220	1679
116	220	1666
117	221	1655
118	221	1642
119	222	1630
120	222	1619
121	223	1607
122	223	1594
123	224	1583
124	224	1572
125	225	1561
126	225	1550
127	225	1538
128	226	1530
129	227	1520
130	227	1510
131	228	1501
132	228	1491
133	229	1481
134	229	1471
135	230	1462
136	230	1452
137	231	1443
138	231	1433
139	231	1424
140	232	1415
141	232	1407
142	233	1399
143	234	1391
144	234	1382
145	234	1374
146	235	1366
147	235	1358
148	236	1350
149	236	1342
150	237	1335
151	238	1328
152	238	1320
153	239	1313
154	239	1305
155	240	1298
156	240	1292
157	241	1285
158	241	1278
159	242	1271
160	242	1265
161	243	1258
162	243	1251
163	244	1245
164	244	1239
165	245	1233
166	246	1227
167	246	1221
168	247	1215
169	247	1209
170	248	1203
171	248	1198
172	249	1192
173	250	1186
174	250	1181
175	251	1175
176	251	1170
177	252	1164
178	252	1159
179	253	1153
180	253	1147
181	254	1141
182	254	1136
183	255	1131
184	255	1126
185	256	1121
186	256	1117
187	257	1112
188	258	1107
189	258	1103
190	259	1098
191	259	1093
192	260	1089
193	261	1085
194	261	1081
195	262	1076
196	263	1072
197	263	1068
198	264	1063
199	264	1059
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	267	1039
205	268	1035
206	269	1030
207	269	1026
208	270	1022
209	270	1018
210	271	1014
211	271	1010
212	272	1006
213	273	1002
214	273	998
215	274	994
216	274	991
217	275	987
218	275	983
219	276	979
220	276	975
221	277	972
222	278	969
223	278	965
224	279	962
225	279	958
226	280	954
227	280	951
228	281	947
229	281	943
230	282	939
231	282	936
232	283	932
233	283	929
234	284	925
235	284	922
236	285	918
237	285	915
238	286	912
239	287	909
240	287	905
241	288	902
242	288	899
243	289	896
244	289	893
245	290	890
246	290	886
247	291	883
248	291	880
249	292	877
250	292	873
251	293	870
252	294	868
253	294	864
254	295	861
255	295	858
256	296	856
257	296	853
258	297	850
259	297	847
260	298	844
261	298	841
262	299	838
263	299	835
264	300	832
265	300	830
266	301	827
267	311	850
268	312	848
269	312	845
270	313	842
271	313	839
272	314	836
273	314	834
274	315	831
275	316	828
276	316	826
277	317	824
278	317	821
279	318	818
280	319	816
281	319	813
282	320	810
283	320	808
284	321	805
285	321	802
286	322	800
287	322	797
288	323	795
289	323	792
290	324	790
291	324	787
292	325	785
293	325	782
294	326	780
295	327	777
296	327	775
297	328	773
298	328	770
299	329	768
300	329	765
301	330	763
302	330	761
303	331	758
304	332	756
305	332	755
306	333	753
307	334	750
308	334	748
309	335	746
310	335	743
311	336	741
312	336	738
313	337	736
314	337	734
315	338	732
316	338	729
317	339	727
318	339	725
319	340	723
320	341	721
321	341	719
322	342	716
323	342	714
324	343	712
325	343	710
326	343	707
327	344	705
328	344	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	692
335	349	690
336	349	688
337	350	686
338	350	683
339	351	681
340	351	679
341	352	677
342	352	676
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	357	658
352	358	656
353	359	655
354	359	653
355	360	651
356	360	649
357	361	647
358	361	645
359	362	644
360	362	642
361	363	640
362	363	638
363	364	636
364	364	634
365	365	633
366	366	631
367	366	629
368	367	628
369	368	627
370	369	625
371	369	624
372	371	624
373	372	623
374	373	622
375	374	620
376	374	619
377	375	618
378	376	616
379	377	615
380	377	613
381	378	611
382	378	610
383	379	608
384	379	606
385	380	605
386	381	603
387	381	602
388	382	600
389	382	598
390	383	597
391	384	595
392	384	594
393	385	592
394	386	591
395	386	589
396	387	587
397	387	586
398	388	584
399	388	583
400	389	581
401	390	580
402	390	578
403	391	577
404	391	575
405	392	573
406	392	572
407	393	570
408	393	569
409	394	567
410	395	566
411	395	564
412	396	563
413	396	561
414	397	560
415	398	559
416	399	558
417	399	556
418	400	555
419	400	553
420	401	552
421	402	550
422	402	549
423	403	547
424	403	546
425	404	545
426	405	544
427	406	542
428	406	541
429	407	539
430	407	538
431	408	537
432	409	535
433	409	534
434	410	533
435	411	531
436	411	530
437	412	529
438	413	527
439	413	526
440	414	525
441	415	524
442	415	522
443	416	521
444	416	519
445	417	518
446	418	517
447	418	515
448	419	514
449	419	512
450	420	511
451	420	510
452	421	509
453	422	508
454	423	506
455	423	505
456	424	504
457	424	502
458	425	501
459	425	500
460	426	498
461	427	497
462	427	496
463	428	495
464	429	493
465	429	492
466	430	491
467	431	490
468	431	488
469	432	487
470	433	486
471	434	485
472	434	484
473	435	483
474	435	481
475	436	480
476	437	479
477	437	477
478	438	476
479	438	475
480	439	473
481	439	472
482	440	471
483	440	469
484	441	468
485	442	467
486	442	466
487	443	465
488	444	464
489	444	463
490	445	461
491	446	460
492	446	459
493	447	458
494	447	456
495	448	455
496	449	454
497	449	453
498	450	452
499	450	450
500	451	449
501	452	448
502	452	447
503	453	446
504	453	444
505	454	443
506	454	442
507	455	441
508	456	440
509	457	439
510	458	438
511	458	437
512	459	436
513	460	435
514	460	433
515	461	432
516	461	431
517	462	430
518	463	429
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	467	423
525	468	422
526	484	435
527	485	434
528	486	432
529	486	431
530	487	430
531	487	429
532	488	428
533	489	427
534	489	425
535	490	424
536	491	423
537	491	422
538	491	420
539	492	419
540	492	418
541	493	416
542	493	415
543	494	414
544	495	413
545	495	412
546	496	410
547	496	409
548	497	408
549	497	407
550	498	406
551	498	404
552	499	403
553	499	402
554	500	400
555	500	399
556	501	398
557	501	397
558	502	396
559	503	395
560	503	394
561	504	392
562	504	391
563	505	390
564	505	389
565	505	387
566	506	386
567	506	385
568	507	384
569	507	383
570	508	381
571	508	380
572	509	379
573	510	378
574	510	377
575	511	376
576	511	375
577	512	373
578	512	372
579	512	371
580	513	370
581	513	369
582	514	367
583	514	366
584	515	365
585	515	364
586	516	363
587	516	362
588	517	361
589	518	359
590	518	358
591	519	357
592	519	356
593	520	355
594	520	354
595	521	353
596	521	352
597	522	350
598	522	349
599	522	348
600	523	347
601	523	346
602	524	345
603	525	344
604	525	343
605	526	342
606	526	341
607	527	339
608	527	338
609	528	337
610	528	336
611	529	335
612	529	334
613	530	333
614	530	332
615	531	331
616	531	330
617	532	328
618	532	327
619	533	326
620	534	325
621	534	324
622	535	323
623	535	322
624	536	321
625	536	320
626	536	319
627	537	318
628	537	317
629	538	316
630	538	315
631	539	314
632	540	313
633	540	312
634	541	311
635	541	310
636	542	308
637	542	307
638	543	306
639	543	305
640	544	304
641	544	303
642	544	302
643	545	301
644	546	300
645	546	299
646	547	298
647	548	297
648	548	296
649	549	295
650	549	294
651	550	293
652	550	292
653	551	291
654	551	290
655	552	289
656	552	288
657	553	287
658	553	286
659	554	285
660	554	284
661	555	283
662	555	282
663	556	281
664	556	280
665	557	279
666	557	278
667	558	277
668	558	276
669	559	275
670	559	274
671	560	273
672	561	272
673	561	271
674	562	270
675	563	269
676	563	268
677	564	267
678	564	266
679	565	265
680	565	264
681	566	263
682	566	263
683	567	262
684	567	261
685	568	260
686	568	259
687	569	258
688	569	257
689	570	256
690	570	255
691	571	254
692	571	253
693	572	252
694	572	251
695	573	250
696	573	249
697	574	248
698	574	247
699	575	246
700	575	245
701	576	244
702	577	243
703	577	242
704	578	242
705	578	241
706	579	240
707	579	239
708	580	238
709	581	237
710	581	236
711	582	235
712	583	234
713	583	233
714	584	232
715	584	231
716	585	231
717	585	230
718	586	229
719	586	228
720	587	227
721	587	226
722	588	225
723	589	224
724	589	223
725	590	222
726	590	221
727	591	220
728	591	219
729	592	219
730	592	218
731	593	217
732	593	216
733	594	215
734	594	214
735	595	213
736	596	212
737	596	211
738	597	210
739	597	209
740	598	209
741	598	208
742	599	207
743	599	206
744	600	205
745	600	204
746	601	203
747	601	202
748	602	201
749	602	200
750	603	200
751	603	199
752	604	198
753	604	197
754	605	196
755	605	195
756	606	194
757	606	193
758	607	192
759	607	191
760	608	191
761	608	190
762	609	189
763	609	188
764	610	187
765	611	186
766	611	185
767	612	184
768	612	184
769	613	183
770	613	182
771	614	181
772	614	180
773	615	179
774	615	178
775	616	177
776	616	177
777	617	176
778	618	175
779	618	174
780	619	173
781	619	172
782	620	171
783	620	170
784	621	170
785	621	169
786	622	168
787	622	167
788	623	166
789	623	165
790	624	164
791	624	164
792	625	163
793	625	162
794	626	161
795	626	160
796	627	159
797	627	158
798	628	158
799	628	157
800	629	156
801	629	155
802	630	154
803	630	153
804	631	152
805	631	152
806	632	151
807	632	150
808	633	149
809	633	148
810	634	147
811	634	147
812	635	146
813	635	145
814	636	144
815	636	143
816	637	142
817	637	141
818	638	141
819	638	140
820	639	139
821	639	138
822	640	137
823	640	136
824	641	136
825	641	135
826	642	134
827	642	133
828	643	132
829	643	131
830	644	130
831	644	130
832	644	129
833	645	128
834	645	127
835	646	126
836	647	126
837	647	125
838	648	124
839	648	123
840	649	122
841	649	121
842	650	121
843	650	120
844	651	119
845	651	118
846	651	117
847	652	116
848	652	116
849	653	115
850	654	114
851	654	113
852	655	112
853	656	112
854	656	111
855	657	110
856	657	109
857	658	108
858	658	108
859	659	107
860	659	106
861	660	105
862	660	104
863	661	104
864	661	103
865	662	102
866	662	101
867	663	100
868	663	100
869	664	99
870	664	98
871	665	97
872	665	96
873	666	96
874	666	95
875	667	94
876	667	93
877	668	92
878	668	92
879	669	91
880	669	90
881	670	89
882	670	88
883	671	88
884	671	87
885	672	86
886	672	85
887	673	84
888	673	84
889	674	83
890	674	82
891	675	81
892	675	80
893	676	80
894	676	79
895	677	78
896	677	77
897	678	77
898	678	76
899	679	75
900	679	74
901	680	73
902	680	73
903	681	72
904	681	71
905	682	70
906	682	69
907	683	69
908	683	68
909	684	67
910	685	66
911	685	66
912	686	65
913	686	64
914	687	63
915	687	63
916	687	62
917	688	61
918	688	60
919	689	59
920	689	59
921	690	58
922	691	57
923	691	56
924	692	56
925	692	55
926	693	54
927	693	53
928	694	53
929	694	52
930	695	51
931	695	50
932	696	49
933	696	49
934	696	48
935	697	47
936	697	46
937	698	46
938	698	45
939	699	44
940	699	43
941	700	43
942	700	42
943	701	41
944	701	40
945	716	40
946	717	40
947	717	39
948	718	38
949	718	37
950	718	37
951	719	36
952	719	35
953	720	34
954	720	33
955	721	33
956	722	32
957	722	31
958	723	30
959	723	30
960	724	29
961	724	28
962	725	27
963	725	27
964	726	26
965	726	25
966	727	24
967	727	24
968	728	23
969	728	22
970	729	21
971	729	21
972	730	20
973	730	19
974	731	18
975	731	17
976	732	17
977	732	16
978	733	15
979	733	14
980	734	14
981	734	13
982	735	12
983	735	11
984	736	11
985	736	10
986	737	9
987	737	8
988	738	8
989	738	7
